Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s,Incumplimiento
1,2,7,5,0.0,20.0,0.0,0.0
1,2,8,1,0.0,20.459994773719263,0.0,0.0
1,2,8,2,0.0,20.0,0.0,0.0
1,2,8,3,0.0,20.0,0.0,0.0
1,2,8,4,0.0,20.0,0.0,0.0
1,2,8,5,0.0,20.0,0.0,0.0
1,2,9,1,0.0,20.0,0.0,0.0
1,2,9,2,0.0,20.0,0.0,0.0
1,2,9,3,0.0,20.0,0.0,0.0
1,2,9,4,0.0,20.0,0.0,0.0
1,2,9,5,0.0,20.0,0.0,0.0
1,2,10,1,0.0,68.87426498875605,0.0,0.0
1,2,10,2,0.0,68.87426498875604,0.0,0.0
1,2,10,3,0.0,68.87426498875604,0.0,0.0
1,2,10,4,0.0,68.87419999999996,0.0,0.0
1,2,10,5,0.0,68.87419999999995,0.0,0.0
1,2,11,1,0.0,20.0,0.0,0.0
1,2,11,2,0.0,20.0,0.0,0.0
1,2,11,3,0.0,20.0,0.0,0.0
1,2,11,4,0.0,20.0,0.0,0.0
1,2,11,5,0.0,20.0,0.0,0.0
1,2,12,1,0.0,450.9538521681974,0.0,0.0
1,2,12,2,0.0,450.9538521681974,0.0,0.0
1,2,12,3,0.0,450.9538521681974,0.0,0.0
1,2,12,4,0.0,450.95390000000003,0.0,0.0
1,2,12,5,0.0,450.95390000000003,0.0,0.0
1,2,13,1,0.0,88.50756386506433,0.0,0.0
1,2,13,2,0.0,88.50756386506433,0.0,0.0
1,2,13,3,0.0,88.50756386506433,0.0,0.0
1,2,13,4,0.0,88.50760000000001,0.0,0.0
1,2,13,5,0.0,88.50760000000001,0.0,0.0
1,2,14,1,0.0,20.0,0.0,0.0
1,2,14,2,0.0,20.0,0.0,0.0
1,2,14,3,0.0,20.0,0.0,0.0
1,2,14,4,0.0,20.0,0.0,0.0
1,2,14,5,0.0,20.0,0.0,0.0
1,2,15,1,0.0,20.0,0.0,0.0
1,2,15,2,0.0,20.0,0.0,0.0
1,2,15,3,0.0,20.0,0.0,0.0
1,2,15,4,0.0,20.0,0.0,0.0
1,2,15,5,0.0,20.0,0.0,0.0
1,2,16,1,0.0,89.19584662499992,0.0,0.0
1,2,16,2,0.0,89.19584662499992,0.0,0.0
1,2,16,3,0.0,89.1958466249999,0.0,0.0
1,2,16,4,0.0,89.19590000000001,0.0,0.0
1,2,16,5,0.0,89.19590000000002,0.0,0.0
1,2,17,1,0.0,30.46292642857145,0.0,0.0
1,2,17,2,0.0,30.46292642857145,0.0,0.0
1,2,17,3,0.0,30.46292642857145,0.0,0.0
1,2,17,4,0.0,30.462899999999976,0.0,0.0
1,2,17,5,0.0,30.462899999999976,0.0,0.0
1,2,18,1,0.0,20.0,0.0,0.0
1,2,18,2,0.0,20.0,0.0,0.0
1,2,18,3,0.0,20.0,0.0,0.0
1,2,18,4,0.0,20.0,0.0,0.0
1,2,18,5,0.0,20.0,0.0,0.0
1,2,19,1,0.0,684.1950386668457,0.0,0.0
1,2,19,2,0.0,584.0967449157639,0.0,0.0
1,2,19,3,0.0,580.0967198993189,0.0,0.0
1,2,19,4,0.0,578.0959071110386,0.0,0.0
1,2,19,5,0.0,580.0968198993189,0.0,0.0
1,2,20,1,0.0,132.00991874999994,0.0,0.0
1,2,20,2,0.0,132.00991874999994,0.0,0.0
1,2,20,3,0.0,132.00991874999994,0.0,0.0
1,2,20,4,0.0,132.00990000000004,0.0,0.0
1,2,20,5,0.0,132.00990000000002,0.0,0.0
1,2,21,1,56.52,0.0,1000.0,-0.0
1,2,21,2,56.52,56.52,0.0,-0.0
1,2,21,3,56.52,56.52,0.0,-0.0
1,2,21,4,56.52,56.52,0.0,-0.0
1,2,21,5,56.52,56.52,0.0,-0.0
1,2,22,1,56.52,0.0,1000.0,-0.0
1,2,22,2,56.52,56.52,0.0,-0.0
1,2,22,3,56.52,56.52,0.0,-0.0
1,2,22,4,56.52,56.52,0.0,-0.0
1,2,22,5,56.52,56.52,0.0,-0.0
1,2,23,1,56.52,25.12028857142851,1000.0,-0.0
1,2,23,2,56.52,56.52,0.0,-0.0
1,2,23,3,56.52,56.52,0.0,-0.0
1,2,23,4,56.52,56.52,0.0,-0.0
1,2,23,5,56.52,56.52,0.0,-0.0
1,2,24,1,56.52,56.52,0.0,-0.0
1,2,24,2,56.52,56.52,0.0,-0.0
1,2,24,3,56.52,56.52,0.0,-0.0
1,2,24,4,56.52,56.52,0.0,-0.0
1,2,24,5,56.52,56.52,0.0,-0.0
1,2,25,1,56.52,56.52,0.0,-0.0
1,2,25,2,56.52,56.52,0.0,-0.0
1,2,25,3,56.52,56.52,0.0,-0.0
1,2,25,4,56.52,56.52,0.0,-0.0
1,2,25,5,56.52,56.52,0.0,-0.0
1,2,26,1,56.52,56.52,0.0,-0.0
1,2,26,2,56.52,56.52,0.0,-0.0
1,2,26,3,56.52,56.52,0.0,-0.0
1,2,26,4,56.52,56.52,0.0,-0.0
1,2,26,5,56.52,56.52,0.0,-0.0
1,2,27,1,56.52,56.52,0.0,-0.0
1,2,27,2,56.52,56.52,0.0,-0.0
1,2,27,3,56.52,56.52,0.0,-0.0
1,2,27,4,56.52,56.52,0.0,-0.0
1,2,27,5,56.52,56.52,0.0,-0.0
1,2,28,1,56.52,56.52,0.0,-0.0
1,2,28,2,56.52,56.52,0.0,-0.0
1,2,28,3,56.52,56.52,0.0,-0.0
1,2,28,4,56.52,56.52,0.0,-0.0
1,2,28,5,56.52,56.52,0.0,-0.0
1,2,29,1,56.52,56.52,0.0,-0.0
1,2,29,2,56.52,56.52,0.0,-0.0
1,2,29,3,56.52,56.52,0.0,-0.0
1,2,29,4,56.52,56.52,0.0,-0.0
1,2,29,5,56.52,56.52,0.0,-0.0
1,2,30,1,56.52,56.52,0.0,-0.0
1,2,30,2,56.52,56.52,0.0,-0.0
1,2,30,3,56.52,56.52,0.0,-0.0
1,2,30,4,56.52,56.52,0.0,-0.0
1,2,30,5,56.52,56.52,0.0,-0.0
