Central,Semana,Temporada,Caudal_m3s
5,3,5,14.03138226583007
5,3,6,12.43725778997446
5,4,1,11.84556306723804
5,4,2,10.48995188914244
5,4,3,11.11580776403139
5,4,4,13.53550051800766
5,4,5,10.10222178091901
5,4,6,12.34590496087416
5,5,1,16.5749066122208
5,5,2,12.26450572082417
5,5,3,11.9147421348844
5,5,4,12.12052135761811
5,5,5,9.71276803902998
5,5,6,13.40738990988861
5,6,1,12.93239602786296
5,6,2,9.023331537363187
5,6,3,10.64235847191394
5,6,4,9.00237125192291
5,6,5,15.13499439669023
5,6,6,12.3110864327473
5,7,1,11.58723961091108
5,7,2,9.287985988485977
5,7,3,12.34463474951775
5,7,4,10.83754516426343
5,7,5,9.161615483972032
5,7,6,11.08499994126595
5,8,1,12.72830987118595
5,8,2,9.30937762207655
5,8,3,10.91273404319336
5,8,4,8.278253557682424
5,8,5,10.80477427089196
5,8,6,14.0451156034113
5,9,1,11.584042869164
5,9,2,12.1836628684337
5,9,3,8.73926214614418
5,9,4,14.2219288109671
5,9,5,11.68196396305667
5,9,6,12.10091699149964
5,10,1,12.03487065134652
5,10,2,11.74109861519343
5,10,3,10.81598940674383
5,10,4,16.20710345531939
5,10,5,14.89891471611544
5,10,6,8.7945508063526
5,11,1,15.04399815297388
5,11,2,11.97463324830166
5,11,3,11.23355794573262
5,11,4,11.6828541472541
5,11,5,11.31904401883041
5,11,6,14.83694875793812
5,12,1,12.09184302722155
5,12,2,11.72101612684959
5,12,3,9.826925245081249
5,12,4,17.25068301678742
5,12,5,10.93523095316012
5,12,6,12.56411591746029
5,13,1,25.31540775940275
5,13,2,23.5469924466305
5,13,3,25.15215900449652
5,13,4,24.50582618242434
5,13,5,26.82348752905284
5,13,6,22.77721044966121
5,14,1,25.57790966901025
5,14,2,24.73035820022432
5,14,3,23.14291951596559
5,14,4,22.04720475353015
5,14,5,26.89184105987554
5,14,6,24.36072143427041
5,15,1,24.36454781231318
5,15,2,24.95342556506967
5,15,3,24.06268961906025
5,15,4,27.85247903886779
